outcome,location_id,location_city_name,breeze_brand,total_vpd,lube_bays,repair_bays,lof_cpd,sscw_wpd,ecw_wpd,fcw_wpd,ibacw_wpd,crw_tnl_wpd,lat_sj,latitude_input_data_x,long_sj,longitude_input_data_x,number_miles_to_closest_oc_loc_sj,brand_sub_format,opportunity_name,opportunity_id,traffic,sitewise_batch,acq_stage,co_located_w_lube,co_located_w_car_wash,co_located_w_repair,nearest_streetlight_day_part_aadt_5_mi,x2024_estimate_5_mi,x2029_projection_5_mi,state_abb,city,street_number,city_state,zcta_code
pass,YmP5AslR-a4w2JjVM9nuke,Crossroads Auto Spa - Plainfield,NA,21,NA,NA,21,NA,NA,NA,NA,0,41.636659,41.636659,-88.2048933,-88.2048933,NA,NA,Crossroads Auto Spa - Plainfield,DNEgrEUtXs4fmsv67lHZ52,NA,Sitewise_Batch_01,00 Dead,NA,NA,NA,6608,144499.471117424,157984.608749838,IL,Plainfield,24037 W 135th St,"Plainfield village, IL",60544
pass,NepSu7spCS4VIfj2qYLYw5,Express Lube & Express Wash - Paducah,NA,15,NA,NA,15,NA,NA,NA,NA,0,37.0842405,37.0842405,-88.6521127,-88.6521127,NA,NA,Express Lube & Express Wash - Paducah,RfwoyAa2zi4bewfWBu7vEb,NA,Sitewise_Batch_01,00 Dead,NA,NA,NA,8042,45014.5291018093,45181.7176979712,KY,Paducah,3245 Park Ave,"Paducah, KY",42001
pass,k7QLTQfQOD4QmyN3eaXAJ5,Express Lube & Express Wash - Paducah,NA,15,NA,NA,15,NA,NA,NA,NA,0,37.0509229,37.0509229,-88.5679455,-88.5679455,NA,NA,Express Lube & Express Wash - Paducah,RfwoyAa2zi4bewfWBu7vEb,NA,Sitewise_Batch_01,00 Dead,NA,NA,NA,4783,35869.9246756974,35837.7075442023,KY,Paducah,3301 Irvin Cobb Dr,"Paducah, KY",42003
pass,JHxZL38wSq4eA3J7-t5R7a,Fastlane Inc - Coeur d'Alene,OC,15,NA,NA,15,NA,NA,NA,NA,0,47.7112485,47.7112485,-116.7923922,-116.7923922,NA,OC,Fastlane - Coeur d'Alene,tNq9l_hO1M4JATauKROD-c,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,1310,91929.2814777848,98792.4235448731,ID,Coeur d'Alene,484 W Bosanko Ave #9301,"Coeur dAlene city, ID",83815
pass,7LAl_rgDi24MQiaAM7zbN0,Froggy's Auto Wash & Lube - Angels Camp,OC+W,15,NA,NA,15,NA,NA,NA,NA,0,38.0772064,38.0772064,-120.550896,-120.550896,NA,OC & WS,Froggy's AW & L - Angels Camp,YE2MkN6mQ24CYPodG7fE95,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,4146,5810.3981098762,5920.80700570578,CA,Angels Camp,572 S Main St,"Angels Camp, CA",95222
pass,MPBEfhSW6t4ya4kRqvgaT4,Insta Lube & Wash - Flint,NA,10,NA,NA,10,NA,NA,NA,NA,0,43.0277104,43.0277104,-83.7415393,-83.7415393,NA,NA,Insta Lube - Flint,l7uiJNgJ7d4Nafm7AGKU_8,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,3263,120949.353592725,117997.97534934,MI,Flint,3422 Flushing Rd,"Flint city, MI",48504
pass,UDTIIhZ-fR4wIXCb4OcvEf,Insta-Lube - Flint,NA,29,NA,NA,29,NA,NA,NA,NA,0,43.0609278,43.0609278,-83.7731025,-83.7731025,NA,NA,Insta Lube - Flint,l7uiJNgJ7d4Nafm7AGKU_8,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,8557,94769.7093425775,92716.7032226401,MI,Flint,4011 N Linden Rd,"Flint city, MI",48504
pass,BecRWAqPzS4227wRtFS4Xa,Insta-Lube Inc - Flint,NA,22,NA,NA,22,NA,NA,NA,NA,0,42.97468,42.97468,-83.6731976,-83.6731976,NA,NA,Insta Lube - Flint,l7uiJNgJ7d4Nafm7AGKU_8,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,3646,130304.066181801,129304.234119061,MI,Flint,3520 Saginaw St G,"Flint city, MI",48503
pass,RB7EUOcMZv4yIF6JazNce7,Integrity Auto Wash & Quick Lube - Grandville,NA,20,NA,NA,20,NA,NA,NA,NA,0,42.8861987,42.8861987,-85.7833428,-85.7833428,NA,NA,Integrity CW & Lube - Grandville,UUa2VTbUIt4s6rqpp45PL9,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,4386,131232.190288444,141652.294007402,MI,Grandville,6451 Kenowa Ave SW,"Grandville city, MI",49418
pass,8pdBFd_a084o6gtqjBOUm9,G & L Lube & Oil - Killeen,NA,20,NA,NA,20,NA,NA,NA,NA,0,31.1079833,31.1079833,-97.7504283,-97.7504283,NA,NA,Kwik Kar - Parth Patel,oAvr68_QmY4b2GMmPKKnF4,NA,Sitewise_Batch_01,00 Dead,NA,NA,NA,2797,172317.282679802,172425.844127901,TX,Killeen,1316 Pershing Dr,"Killeen city, TX",76549
pass,0tLS3dSJiS43uVNDLPvUc2,Kwik Kar Killeen - Killeen,NA,11,NA,NA,11,NA,NA,NA,NA,0,31.1188966,31.1188966,-97.6989699,-97.6989699,NA,NA,Kwik Kar - Rancier,y6_Q98usBq47ipq0G7YOX6,NA,Sitewise_Batch_01,missing,NA,NA,NA,1267,144516.510752304,144505.281668185,TX,Killeen,3007 E Rancier Ave,"Killeen city, TX",76543
pass,4ZHpELdFvk4TiCuCUsQFr7,Little Wolf Automotive Express Lube - Plover,OC,20,2,NA,20,NA,NA,NA,NA,0,44.4539706,44.4539706,-89.5422999,-89.5422999,NA,OC & R,Little Wolf LE - Waupaca,aU9TIh8E9N40erdlcfEtg1,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,TRUE,7287,30899.8756960111,31630.0680894353,WI,Plover,2550 Plover Rd,"Plover village, WI",54467
pass,ejEXCb-XAy4kARizPkhPpc,Little Wolf Automotive Express Lube - Waupaca,OC,20,2,NA,20,NA,NA,NA,NA,0,44.356063,44.356063,-89.1035261,-89.1035261,NA,OC & R,Little Wolf LE - Waupaca,aU9TIh8E9N40erdlcfEtg1,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,TRUE,181,13010.6013657182,13276.0240454766,WI,Waupaca,225 S Western Ave,"Waupaca city, WI",54981
pass,4JPZneApP04bi-ePX5nHA5,Little Wolf Lube Express - Antigo,OC,20,2,NA,20,NA,NA,NA,NA,0,45.1513046,45.1513046,-89.1501497,-89.1501497,NA,OC & R,Little Wolf LE - Waupaca,aU9TIh8E9N40erdlcfEtg1,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,TRUE,5457,10724.6707953659,10684.3826179501,WI,Antigo,1436 Neva Rd,"Antigo, WI",54409
pass,pUxuh0sj7Q4DAhdkiRkTHb,Little Wolf Lube Express - Waupaca,OC,20,3,NA,20,NA,NA,NA,NA,0,44.3544305,44.3544305,-89.1036874,-89.1036874,NA,OC & R,Little Wolf LE - Waupaca,aU9TIh8E9N40erdlcfEtg1,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,TRUE,181,13173.8468527153,13443.4819687548,WI,Waupaca,323 S Western Ave,"Waupaca, WI",54981
pass,ERsPG4xZ_P4xYvE2Jj0wY1,Little Wolf Lube Express - Wausau,OC,20,2,NA,20,NA,NA,NA,NA,0,44.9691097,44.9691097,-89.635484,-89.635484,NA,OC & R,Little Wolf LE - Waupaca,aU9TIh8E9N40erdlcfEtg1,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,TRUE,7806,56153.3939671011,57366.3405280368,WI,Wausau,201 Central Bridge St,"Wausau, WI",54401
pass,s0UZ6gHmoZ4JUnYrEwCj_e,Valvoline Express Care - Rothschild,OC,35,2,NA,35,NA,NA,NA,NA,0,44.8996462,44.8996462,-89.6093644,-89.6093644,NA,OC & R,Little Wolf LE - Waupaca,aU9TIh8E9N40erdlcfEtg1,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,TRUE,10362,60573.253981239,61979.5673924305,WI,Rothschild,1133 E Grand Ave,"Rothschild village, WI",54474
pass,su904y5BOZ4MMJLNGAxzW1,Kwik Lube - Ogden,NA,20,NA,NA,20,NA,NA,NA,NA,0,41.2588798,41.2588798,-111.9705907,-111.9705907,NA,NA,Kwik Lube - Ogden,OTgEfKHdqc4AuGgeXPuPCc,NA,Sitewise_Batch_01,03 Prospect,NA,NA,NA,16922,143505.736660022,154661.204025166,UT,Ogden,369 2nd St,"Ogden city, UT",84404
